date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bop_14_bop,cmo_14_cmo,dx_14_dx,ema_12_ema,ema_14_ema,ht_trendmode_14_trendmode,kama_14_kama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,trange_14_trange,trima_14_trima,willr_14_willr,wma_14_wma
2025-09-19,44.66,51.31,40.17,51.18,2116658,2067256.6463,,,,,,0.5853,,,,,0,,,,,,,,2116658.0,,,,,,,,,,,,,
2025-09-26,53.18,67.33,50.14,59.25,4373097,2329555.9661,,,,,,0.3531,,,,,0,,,,,,,,6489755.0,,,,,40.17,,,,,17.189,,,
2025-10-03,61.2,89.0,59.96,82.66,3644056,4382670.7502,,,,,,0.739,,,,,0,,,,,,,,10133811.0,,,,,40.4416,,,,,29.749,,,
2025-10-10,88.61,98.54,67.27,83.51,4664004,4563460.8976,,,,,,-0.1631,,,,,0,,,,,,,,14797815.0,,,,,41.4127,,,,,31.2722,,,
2025-10-17,90.63,94.92,60.0,62.9,3966615,1255606.7677,,,,,,-0.794,,,,,0,,,,,,,,10831200.0,,,,,43.1266,,,,,34.9237,,,
2025-10-24,66.93,67.38,43.15,65.88,7344165,7688588.9536,,,,,,-0.0433,,,,,0,,,,,,,,18175365.0,,,,,98.54,,,,,24.2333,,,
2025-10-31,70.06,82.18,65.21,80.85,3982367,11046684.1391,,,,,,0.6358,,,,,0,,,,,,,,22157732.0,,,,,97.9861,,,49.3468,68.0628,16.97,,,
2025-11-07,84.36,85.61,46.82,56.99,5577297,8393909.4639,,,,,,-0.7056,,,,,0,,,,,,,,16580435.0,,,,,97.4377,,,44.6952,24.9865,38.79,,,
2025-11-14,60.97,64.07,30.15,31.25,10231802,-1174273.3026,,,,,,-0.8762,,,,,0,,,,,,,,6348633.0,,,,,96.8949,41.8748,31.5825,31.5825,1.6982,33.92,,,
2025-11-21,31.52,46.72,26.66,30.25,10510811,-7922989.4382,-4279992.2762,,,,,-0.0633,,,,,0,,,,,,,,-4162178.0,,,,,95.56,29.0675,10.9249,10.9249,6.0899,20.06,,,
2025-11-28,32.68,40.59,30.97,38.66,3961114,-5551262.1368,-4569980.733,,,,,0.6216,,,,,0,,,,,,-12.52,,-201064.0,,-24.4627,,,93.493,17.2963,9.3815,9.3815,20.3562,10.34,,,
2025-12-05,35.95,45.97,34.01,40.97,4878488,-4750827.8287,-4018475.937,,,,,0.4198,,,57.0292,,0,,,,,,-18.28,,4677424.0,,-30.8523,,,91.488,12.4044,16.907,16.907,24.2748,11.958,,,
2025-12-12,40.05,43.26,31.22,32.31,3811904,-7872536.5862,-4420815.3126,,,,,-0.6429,,,53.2262,,0,,,,,,-50.35,,865520.0,,-60.9122,,,89.5431,15.3999,19.9113,19.9113,15.1029,12.04,,,
2025-12-19,33.01,33.28,23.5,32.7,5927691,-2647811.4674,-2521103.8546,,,,,-0.0317,,,50.0683,53.5257,0,,,56.88,61.02,,-50.81,,6793211.0,,-60.843,,,87.6566,21.0504,26.3329,26.3329,39.621,9.7799,56.0711,-87.7399,46.3031
2025-12-26,35.12,37.26,30.4,31.12,2544744,-4660042.5049,-2155013.2379,92.8571,21.4286,-71.4286,21.2916,-0.5833,-14.0437,1.0263,47.1532,50.5383,0,32.6649,43.2135,56.88,61.02,24.5062,-31.78,68.4178,4248467.0,24.0083,-50.5246,0.6081,42.9782,85.0904,25.2635,29.5463,29.5463,33.9149,6.8575,51.6252,-89.8454,43.3157
